Song,Artist,Compound,Negitive,Neutral,Positive
Control Myself,LL Cool J,0.9804,0.096,0.783,0.122
Crossroads,LL Cool J,-0.9982,0.243,0.678,0.078
Dangerous,LL Cool J,0.2113,0.125,0.737,0.137
Dear Yvette,LL Cool J,0.9277,0.073,0.821,0.106
Def Jam In The Motherland,LL Cool J,-0.9523,0.141,0.734,0.125
Diggy Down,LL Cool J,-0.9966,0.214,0.718,0.067
Doin It,LL Cool J,0.996,0.08,0.751,0.168
Down The Aisle,LL Cool J,0.9981,0.034,0.762,0.204
Droppin Em,LL Cool J,0.8885,0.111,0.755,0.134
Every Sip,LL Cool J,0.9868,0.042,0.843,0.115
Farmers,LL Cool J,0.941,0.067,0.833,0.1
Father,LL Cool J,-0.9368,0.121,0.773,0.106
Favorite Flavor,LL Cool J,0.9963,0.052,0.777,0.171
Feel My Heart Beat,LL Cool J,0.9932,0.042,0.843,0.114
Feel The Beat,LL Cool J,0.9959,0.178,0.578,0.243
Get Da Drop On Em,LL Cool J,-0.999,0.263,0.642,0.095
Ghetto Love,LL Cool J,0.9968,0.045,0.744,0.211
Hello,LL Cool J,0.9607,0.102,0.748,0.15
Hollis To Hollywood,LL Cool J,0.9939,0.091,0.743,0.166
I Can Give You More,LL Cool J,0.9914,0.116,0.726,0.158
I Can't Live Without My Radio,LL Cool J,0.6287,0.109,0.772,0.119
I Need A Beat,LL Cool J,0.9837,0.105,0.734,0.161
I Need Love,LL Cool J,0.9998,0.029,0.659,0.312
I Shot Ya,LL Cool J,-0.9925,0.164,0.754,0.083
I Wish (Remix),LL Cool J,0.9977,0.072,0.726,0.202
I'm Bad,LL Cool J,0.9885,0.097,0.743,0.16
I'm That Type Of Guy,LL Cool J,0.9423,0.067,0.842,0.091
Incredible,LL Cool J,-0.9789,0.134,0.776,0.09
Intro,LL Cool J,-0.9885,0.208,0.677,0.115
It's Ll And Santana,LL Cool J,-0.9367,0.066,0.887,0.047
It's Time For War,LL Cool J,-0.9982,0.201,0.719,0.079
I've Changed,LL Cool J,0.9348,0.128,0.725,0.147
Jack The Ripper,LL Cool J,0.9663,0.1,0.77,0.13
Jealous,LL Cool J,-0.9958,0.182,0.715,0.103
Jump On It,LL Cool J,-0.9971,0.143,0.836,0.021
Life As...,LL Cool J,-0.984,0.2,0.69,0.109
Ll Cool J,LL Cool J,-0.9993,0.232,0.686,0.082
LL Cool J Skit,LL Cool J,0.9654,0.0,0.864,0.136
Loungin',LL Cool J,0.9765,0.033,0.887,0.08
Love U Better,LL Cool J,0.999,0.112,0.635,0.253
Mama Said Knock You Out,LL Cool J,-0.9869,0.112,0.824,0.064
Mary Jane (Remix),LL Cool J,0.9954,0.043,0.774,0.183
Milky Cereal,LL Cool J,0.9838,0.071,0.815,0.113
Mirror Mirror,LL Cool J,0.9858,0.033,0.86,0.107
M.I.S.S.I.,LL Cool J,0.9885,0.091,0.735,0.174
Move Somethin,LL Cool J,0.9845,0.028,0.863,0.109
Mr. Smith,LL Cool J,0.9945,0.122,0.695,0.183
New York Gangstas,LL Cool J,-0.933,0.103,0.83,0.067
Niggy Nuts,LL Cool J,-0.9385,0.083,0.857,0.059
No More,LL Cool J,0.949,0.152,0.651,0.197
One Shot At Love,LL Cool J,0.9992,0.09,0.641,0.269
Ooh Wee,LL Cool J,0.9937,0.046,0.805,0.149
Papa Luv It,LL Cool J,0.8965,0.05,0.869,0.081
Paradise,LL Cool J,0.9989,0.012,0.795,0.192
Phenomenon,LL Cool J,0.9941,0.083,0.737,0.18
Pink Cookies In A Plastic Bag Getting Crushed By Buildings,LL Cool J,0.9987,0.04,0.77,0.19
Queens,LL Cool J,-0.9926,0.168,0.723,0.109
Rampage,LL Cool J,-0.7117,0.114,0.773,0.113
Rock The Bells,LL Cool J,0.9613,0.076,0.804,0.12
Run My Back,LL Cool J,0.9712,0.022,0.892,0.086
Say What,LL Cool J,-0.5139,0.065,0.86,0.075
Shake It Baby,LL Cool J,0.9674,0.069,0.832,0.099
Shut 'em Down,LL Cool J,-0.9893,0.134,0.794,0.073
Skit,LL Cool J,0.9986,0.014,0.674,0.312
"Smokin', Dopin'",LL Cool J,0.9949,0.067,0.769,0.163
So Sick,LL Cool J,-0.9934,0.26,0.572,0.168
Stand By Your Man,LL Cool J,0.9736,0.076,0.817,0.108
Take It Off,LL Cool J,0.5859,0.068,0.859,0.072
The Boomin' System,LL Cool J,0.9927,0.072,0.784,0.144
The Breakthrough,LL Cool J,0.8894,0.12,0.744,0.135
The G.O.A.T.,LL Cool J,0.8426,0.118,0.729,0.153
The Power Of God,LL Cool J,0.9927,0.1,0.714,0.186
This Is For The Love In You,LL Cool J,0.9951,0.021,0.836,0.143
Throw Ya L's Up,LL Cool J,0.9125,0.084,0.816,0.1
Wanna Get Paid,LL Cool J,-0.8818,0.081,0.855,0.064
We're Gonna Make It,LL Cool J,0.9968,0.072,0.749,0.179
Whatcha Hood Like,LL Cool J,0.9897,0.031,0.858,0.111
You Can't Dance,LL Cool J,0.852,0.078,0.811,0.112
You'll Rock,LL Cool J,0.979,0.08,0.792,0.128
You're In My Heart,LL Cool J,0.9955,0.104,0.716,0.18
29,Lloyd Cole,-0.2805,0.122,0.745,0.133
2Cv,Lloyd Cole,0.8748,0.163,0.616,0.22
Andy's Babies,Lloyd Cole,0.9401,0.084,0.762,0.154
Another Lover,Lloyd Cole,0.9804,0.054,0.78,0.166
Are You Ready To Be Heartbroken?,Lloyd Cole,0.9765,0.157,0.559,0.284
Big Snake,Lloyd Cole,-0.0377,0.047,0.914,0.04
Blame Mary Jane,Lloyd Cole,-0.9349,0.187,0.674,0.139
Brand New Friend,Lloyd Cole,0.845,0.055,0.847,0.097
Butterfly,Lloyd Cole,-0.6928,0.158,0.693,0.149
Can't Get Arrested,Lloyd Cole,0.9981,0.057,0.644,0.299
Charlotte Street,Lloyd Cole,0.786,0.098,0.787,0.115
Chelsea Hotel,Lloyd Cole,0.9831,0.048,0.779,0.173
Don't Look Back,Lloyd Cole,0.8456,0.102,0.736,0.162
Down On Mission Street,Lloyd Cole,-0.8233,0.11,0.821,0.069
Downtown,Lloyd Cole,0.5761,0.092,0.741,0.167
Eat Your Greens,Lloyd Cole,0.7915,0.124,0.733,0.143
Fool You Are,Lloyd Cole,-0.9812,0.175,0.752,0.073
For The Pleasure Of Your Company,Lloyd Cole,0.965,0.064,0.738,0.197
Forest Fire,Lloyd Cole,0.9597,0.075,0.759,0.167
Four Flights Up,Lloyd Cole,0.9957,0.105,0.635,0.26
From The Hip,Lloyd Cole,-0.898,0.154,0.745,0.101
Grace,Lloyd Cole,-0.9466,0.134,0.825,0.041
Half Of Everything,Lloyd Cole,0.9955,0.039,0.801,0.161
Her Last Fling,Lloyd Cole,0.8409,0.078,0.786,0.136
Hey Rusty,Lloyd Cole,0.3771,0.096,0.782,0.122
I Am Not Willing,Lloyd Cole,0.9622,0.082,0.68,0.238
I Can't Feel You Anymore,Loretta Lynn,-0.8296,0.077,0.905,0.018
I Can't Hear The Music,Loretta Lynn,0.9954,0.065,0.674,0.261
I'm One Man's Woman,Loretta Lynn,0.9854,0.051,0.727,0.222
In The Garden,Loretta Lynn,0.8543,0.035,0.847,0.118
Indian Lake,Loretta Lynn,0.8591,0.0,0.93,0.07
Is It Wrong (For Loving You),Loretta Lynn,0.6757,0.23,0.488,0.282
It's Another World,Loretta Lynn,0.8736,0.055,0.843,0.102
Let Me Go You're Hurtin' Me,Loretta Lynn,-0.3218,0.156,0.708,0.137
Let Your Love Flow,Loretta Lynn,0.9974,0.016,0.646,0.339
Living My Lifetime For You,Loretta Lynn,0.2342,0.051,0.857,0.092
Lonesome 7-7203,Loretta Lynn,0.9351,0.092,0.732,0.176
Loose Talk,Loretta Lynn,0.9825,0.116,0.665,0.219
"Louisiana Woman, Mississippi Man",Loretta Lynn,0.998,0.012,0.775,0.213
Love Is The Foundation,Loretta Lynn,0.9702,0.0,0.749,0.251
Rose Garden,Loretta Lynn,0.9941,0.061,0.673,0.266
Ruby Madge And Mable,Loretta Lynn,0.9704,0.062,0.748,0.19
Saint To A Sinner,Loretta Lynn,-0.7576,0.112,0.836,0.053
Satin Sheets,Loretta Lynn,0.8179,0.109,0.712,0.179
Secret Love,Loretta Lynn,0.9669,0.045,0.718,0.237
See That Mountain,Loretta Lynn,0.7203,0.01,0.929,0.061
Silver Bells,Loretta Lynn,0.886,0.0,0.838,0.162
Silver Threads And Golden Needles,Loretta Lynn,0.9883,0.102,0.657,0.241
Slowly Killing Me,Loretta Lynn,-0.9437,0.204,0.699,0.098
Softly And Tenderly,Loretta Lynn,0.5423,0.025,0.908,0.067
Andy's Chest,Lou Reed,0.9604,0.011,0.91,0.078
Beginning Of A Great Adventure,Lou Reed,0.9985,0.122,0.597,0.281
Berlin,Lou Reed,0.9904,0.094,0.644,0.262
Betrayed,Lou Reed,-0.9935,0.286,0.575,0.139
Billy,Lou Reed,0.7351,0.076,0.825,0.1
Blind Rage,Lou Reed,-0.9992,0.611,0.389,0.0
Bottoming Out,Lou Reed,-0.9292,0.143,0.78,0.077
Broadway Song,Lou Reed,0.9827,0.043,0.745,0.212
Crazy Feeling,Lou Reed,0.0,0.133,0.714,0.154
Dime Store Mystery,Lou Reed,0.5206,0.096,0.802,0.102
Don't Hurt A Woman,Lou Reed,0.6418,0.143,0.685,0.172
Ecstasy,Lou Reed,0.9977,0.015,0.714,0.272
Endless Cycle,Lou Reed,-0.8779,0.134,0.785,0.081
Endlessly Jealous,Lou Reed,-0.9967,0.367,0.603,0.029
Ennui,Lou Reed,-0.3283,0.107,0.794,0.099
Every Frog Has His Day,Lou Reed,0.7409,0.155,0.637,0.208
Families,Lou Reed,-0.963,0.099,0.864,0.037
Finish Line,Lou Reed,-0.1531,0.036,0.934,0.03
Fly Into The Sun,Lou Reed,-0.5106,0.075,0.867,0.058
Foggy Notion,Lou Reed,0.9313,0.047,0.847,0.106
Follow The Leader,Lou Reed,0.9927,0.0,0.682,0.318
Foot Of Pride,Lou Reed,0.9963,0.102,0.694,0.204
Future Farmers Of America,Lou Reed,-0.9803,0.168,0.769,0.062
Gassed And Stoked,Lou Reed,0.9796,0.09,0.739,0.171
Gimmie Some Good Times,Lou Reed,-0.9156,0.124,0.778,0.098
Going Down,Lou Reed,0.7717,0.052,0.861,0.087
Good Evening Mr. Waldheim,Lou Reed,0.9823,0.047,0.817,0.136
Goodnight Ladies,Lou Reed,0.5882,0.087,0.823,0.09
Guilty,Lou Reed,-0.9988,0.399,0.554,0.047
Heavenly Arms,Lou Reed,0.9959,0.066,0.585,0.349
Here Comes The Bride,Lou Reed,0.9838,0.051,0.786,0.163
Heroin,Lou Reed,-0.9497,0.157,0.718,0.124
Hold On,Lou Reed,0.3612,0.081,0.837,0.083
"I Love You, Suzanne",Lou Reed,0.9989,0.039,0.601,0.36
I Remember You,Lou Reed,0.5826,0.059,0.863,0.078
I Wanna Be Black,Lou Reed,-0.7988,0.167,0.626,0.207
I Wanna Know (The Pit And The Pendulum),Lou Reed,-0.991,0.167,0.761,0.072
I Want To Boogie With You,Lou Reed,0.994,0.048,0.688,0.264
I'm So Free,Lou Reed,0.9996,0.0,0.517,0.483
I'm Waiting For The Man,Lou Reed,0.679,0.051,0.846,0.103
In Our Sleep,Lou Reed,0.0,0.0,1.0,0.0
Into The Divine,Lou Reed,0.9876,0.108,0.669,0.223
It Wasn't Me,Lou Reed,-0.8987,0.128,0.764,0.108
Keep Away,Lou Reed,-0.6486,0.071,0.929,0.0
Kicks,Lou Reed,-0.0377,0.103,0.779,0.118
Kill Your Sons,Lou Reed,-0.9991,0.344,0.608,0.048
Last Great American Whale,Lou Reed,-0.9937,0.191,0.707,0.101
Leave Me Alone,Lou Reed,0.9837,0.165,0.619,0.217
Legendary Hearts,Lou Reed,0.5499,0.151,0.686,0.163
Men Of Good Fortune,Lou Reed,-0.8297,0.177,0.675,0.148
Pale Blue Eyes,Lou Reed,0.8989,0.071,0.823,0.106
Perfect Day,Lou Reed,0.9892,0.037,0.732,0.232
Power And Glory - The Situation,Lou Reed,0.9569,0.047,0.861,0.092
Real Good Time Together,Lou Reed,0.9565,0.0,0.82,0.18
Revien Cherie,Lou Reed,0.9971,0.044,0.538,0.418
Ride Into The Sun,Lou Reed,-0.8022,0.164,0.735,0.1
Ride Sally Ride,Lou Reed,-0.7669,0.077,0.894,0.029
Riptide,Lou Reed,0.6041,0.068,0.848,0.084
Sad Song,Lou Reed,-0.9911,0.365,0.615,0.02
Sally Can't Dance,Lou Reed,0.9882,0.022,0.815,0.164
Science Of The Mind,Lou Reed,0.5106,0.068,0.839,0.092
Senselessly Cruel,Lou Reed,-0.9936,0.339,0.617,0.044
September Song,Lou Reed,0.9408,0.052,0.823,0.125
Set The Twilight Reeling,Lou Reed,-0.3919,0.096,0.82,0.084
Shooting Star,Lou Reed,0.9896,0.016,0.681,0.303
Sick Of You,Lou Reed,-0.9965,0.237,0.657,0.106
Slip Away,Lou Reed,-0.8047,0.108,0.818,0.074
Smiles,Lou Reed,0.9675,0.077,0.773,0.15
So Alone,Lou Reed,-0.9038,0.145,0.741,0.114
Some Kinda Love,Lou Reed,0.9551,0.161,0.618,0.221
Something Happened,Lou Reed,-0.1027,0.042,0.928,0.029
Soul Man,Lou Reed,0.9834,0.008,0.805,0.187
Spit It Out,Lou Reed,-0.9107,0.056,0.944,0.0
Standing On Ceremony,Lou Reed,0.9681,0.033,0.793,0.174
Street Hassle: Slip Away,Lou Reed,0.9624,0.087,0.72,0.193
Stupid Man,Lou Reed,-0.3958,0.161,0.688,0.151
Style It Takes,Lou Reed,0.9604,0.0,0.903,0.097
Sweet Jane,Lou Reed,0.9455,0.07,0.78,0.15
Sword Of Damocles,Lou Reed,-0.9958,0.234,0.736,0.03
Talking Book,Lou Reed,0.9909,0.018,0.783,0.199
Teach The Gifted Children,Lou Reed,0.8074,0.046,0.861,0.093
Tell It To Your Heart,Lou Reed,0.8934,0.031,0.884,0.085
Temporary Thing,Lou Reed,0.8921,0.11,0.726,0.164
The Bed,Lou Reed,0.6035,0.061,0.857,0.083
The Bells,Lou Reed,0.7913,0.037,0.88,0.083
The Cask,Lou Reed,-0.9206,0.181,0.661,0.159
A Fine Romance,Louis Armstrong,0.9955,0.088,0.48,0.432
A Kiss To Build A Dream On,Louis Armstrong,0.9842,0.072,0.675,0.252
Ain't Misbehavin',Louis Armstrong,0.9899,0.051,0.702,0.247
Alexander's Ragtime Band,Louis Armstrong,0.9216,0.033,0.798,0.169
All Of Me,Louis Armstrong,0.9623,0.062,0.714,0.224
"Baby, It's Cold Outside",Louis Armstrong,0.9827,0.109,0.723,0.169
Back O' Town Blues,Louis Armstrong,-0.8421,0.117,0.843,0.04
Beale Street Blues,Louis Armstrong,0.8225,0.051,0.838,0.111
Bessie Couldn't Help It,Louis Armstrong,0.994,0.133,0.601,0.266
Black And Blue,Louis Armstrong,-0.9701,0.154,0.808,0.038
Blue Again,Louis Armstrong,-0.8176,0.148,0.794,0.059
Blueberry Hill,Louis Armstrong,0.99,0.0,0.818,0.182
'Bout Time,Louis Armstrong,0.9916,0.084,0.669,0.247
Cabaret,Louis Armstrong,0.9887,0.055,0.769,0.175
Cain And Abel,Louis Armstrong,-0.9186,0.156,0.781,0.063
Can't Help Lovin' Dat Man,Louis Armstrong,0.5901,0.137,0.714,0.149
C'est Si Bon,Louis Armstrong,0.9891,0.0,0.669,0.331
Cheek To Cheek,Louis Armstrong,0.985,0.032,0.753,0.216
Cool Yule,Louis Armstrong,0.9584,0.045,0.813,0.142
Dallas Blues,Louis Armstrong,-0.9002,0.087,0.878,0.035
Didn't He Ramble,Louis Armstrong,0.8689,0.029,0.898,0.073
Do Nothin' Till You Hear From Me,Louis Armstrong,0.9737,0.065,0.787,0.148
Do You Know What Means To Miss New Orleans,Louis Armstrong,0.7314,0.094,0.806,0.1
Don't Fence Me In,Louis Armstrong,0.714,0.058,0.868,0.074
Don't Get Around Much Anymore,Louis Armstrong,0.4677,0.021,0.918,0.061
Dream A Little Dream Of Me,Louis Armstrong,0.9894,0.068,0.574,0.358
Dummy Song,Louis Armstrong,0.9637,0.0,0.89,0.11
Exactly Like You,Louis Armstrong,0.9946,0.027,0.61,0.363
Georgia On My Mind,Louis Armstrong,0.9918,0.041,0.628,0.331
Give Peace A Chance,Louis Armstrong,0.995,0.032,0.654,0.314
Gone Fishin',Louis Armstrong,0.9625,0.06,0.805,0.135
Got A Bran' New Suit,Louis Armstrong,0.7549,0.0,0.919,0.081
Hello Brother,Louis Armstrong,0.9833,0.035,0.726,0.239
"Hello, Dolly",Louis Armstrong,0.9375,0.023,0.864,0.114
Here Is My Heart For Christmas,Louis Armstrong,0.9703,0.0,0.764,0.236
Hesitating Blues - Previously Unreleased Rehearsal Sequence,Louis Armstrong,-0.4696,0.074,0.879,0.047
"Hey, Look Me Over",Louis Armstrong,0.928,0.0,0.912,0.088
High Society Calypso,Louis Armstrong,0.9289,0.063,0.799,0.139
I Can't Believe That You're In Love With Me,Louis Armstrong,0.9814,0.0,0.73,0.27
I Can't Give You Anything But Love,Louis Armstrong,0.9979,0.071,0.612,0.317
I Get Ideas,Louis Armstrong,0.9531,0.094,0.678,0.228
I Got It Bad (And That Ain't Good),Louis Armstrong,-0.9804,0.321,0.541,0.139
I Guess I'll Get The Papers And Go Home,Louis Armstrong,0.7717,0.07,0.809,0.121
I Left My Heart In San Francisco,Louis Armstrong,-0.8956,0.151,0.816,0.032
I Only Have Eyes For You,Louis Armstrong,0.9187,0.03,0.859,0.112
I Still Get Jealous,Louis Armstrong,0.7269,0.182,0.594,0.224
I Surrender Dear,Louis Armstrong,0.8951,0.154,0.662,0.184
"I Wonder, I Wonder, I Wonder",Louis Armstrong,0.9366,0.067,0.796,0.137
I'll Never Be The Same,Louis Armstrong,0.7717,0.11,0.756,0.134
I'll String Along With You,Louis Armstrong,0.9877,0.048,0.789,0.163
I'm A Ding Dong Daddy (From Dumas),Louis Armstrong,-0.698,0.027,0.956,0.017
I'm Confessin' That I Love You,Louis Armstrong,0.9675,0.106,0.641,0.253
I'm Gonna Lock My Heart And Throw Away The Key,Louis Armstrong,0.9901,0.05,0.76,0.19
It Don't Mean A Thing (If It Ain't Got That Swing),Louis Armstrong,0.168,0.099,0.811,0.09
"It's Been A Long, Long Time",Louis Armstrong,0.9876,0.045,0.699,0.255
It's Wonderful,Louis Armstrong,0.997,0.0,0.524,0.476
I've Got A Gal In Kalamazoo,Louis Armstrong,0.5557,0.008,0.963,0.028
Just Squeeze Me,Louis Armstrong,0.9953,0.043,0.545,0.413
La Vie En Rose,Louis Armstrong,0.8834,0.0,0.883,0.117
Lazy River,Louis Armstrong,-0.8126,0.179,0.693,0.128
Lazybones,Louis Armstrong,0.5132,0.0,0.958,0.042
Learnin' The Blues,Louis Armstrong,0.995,0.091,0.714,0.196
Let's Call The Whole Thing Off,Louis Armstrong,0.9935,0.015,0.836,0.149
Let's Do It (Let's Fall In Love),Louis Armstrong,0.9952,0.031,0.786,0.183
Life Is So Peculiar,Louis Armstrong,0.9715,0.06,0.809,0.131
"Long, Long Journey",Louis Armstrong,-0.944,0.173,0.746,0.081
Lyin' To Myself,Louis Armstrong,0.8694,0.085,0.781,0.133
Mack The Knife,Louis Armstrong,0.786,0.045,0.886,0.07
Makin' Whoopie,Louis Armstrong,0.9781,0.058,0.76,0.182
Mame,Louis Armstrong,0.9657,0.0,0.854,0.146
My One And Only Love,Louis Armstrong,0.9966,0.023,0.625,0.352
Nobody Knows The Trouble I've Seen,Louis Armstrong,0.9921,0.113,0.55,0.337
On The Sunny Side Of The Street,Louis Armstrong,0.9851,0.018,0.78,0.202
Only You,Louis Armstrong,0.9812,0.029,0.722,0.248
Papa De Da Da,Louis Armstrong,0.9287,0.0,0.829,0.171
Saint James Infirmary,Louis Armstrong,0.8588,0.061,0.833,0.106
St James Infirmary,Louis Armstrong,0.9391,0.051,0.812,0.137
Stardust,Louis Armstrong,0.8934,0.091,0.727,0.182
Stars Fell On Alabama,Louis Armstrong,0.9535,0.051,0.775,0.174
Summertime,Louis Armstrong,0.921,0.0,0.86,0.14
That Old Feeling,Louis Armstrong,0.9759,0.062,0.746,0.193
That's My Desire,Louis Armstrong,0.9887,0.03,0.682,0.288
The Sunshine Of Love,Louis Armstrong,0.9923,0.034,0.68,0.286
There Must Be A Way,Louis Armstrong,0.9848,0.037,0.734,0.229
Throw It Out Of Your Mind,Louis Armstrong,0.899,0.081,0.759,0.16
Tin Roof Blues,Louis Armstrong,0.9631,0.053,0.697,0.25
Tomorrow Night,Louis Armstrong,0.5719,0.049,0.874,0.078
Way Down Yonder In New Orleans,Louis Armstrong,0.9412,0.036,0.802,0.163
What A Wonderful World,Louis Armstrong,0.9819,0.041,0.709,0.25
What's New,Louis Armstrong,0.9713,0.11,0.639,0.251
When Did You Leave Heaven?,Louis Armstrong,0.9785,0.121,0.562,0.317
When The Saints Go Marching In,Louis Armstrong,0.9849,0.034,0.803,0.163
When You Wish Upon A Star,Louis Armstrong,0.9913,0.07,0.626,0.303
When You're Smiling,Louis Armstrong,0.9874,0.04,0.718,0.241
Whispering,Louis Armstrong,0.9547,0.075,0.691,0.234
Would You Like To Take A Walk?,Louis Armstrong,0.9931,0.027,0.809,0.164
You Can't Lose A Broken Heart,Louis Armstrong,0.7059,0.136,0.666,0.198
You Go To My Head,Louis Armstrong,0.9746,0.056,0.745,0.199
You Won't Be Satisfied Until You Break My Heart,Louis Armstrong,-0.8784,0.196,0.664,0.14
Your Cheatin' Heart,Louis Armstrong,-0.9565,0.277,0.594,0.129
You're The Top,Louis Armstrong,0.8852,0.106,0.737,0.157
Ain't That Just Like A Woman,Louis Jordan,-0.9556,0.165,0.758,0.077
At The Swing Cat's Ball,Louis Jordan,-0.2023,0.089,0.84,0.071
Barnyard Boogie,Louis Jordan,0.9755,0.023,0.824,0.152
Doug The Jitterbug,Louis Jordan,-0.3365,0.113,0.747,0.14
Early In The Morning,Louis Jordan,0.7455,0.018,0.933,0.049
'fore Day Blues,Louis Jordan,0.9421,0.066,0.737,0.197
G.I. Jive,Louis Jordan,0.9081,0.009,0.92,0.072
Let The Good Times Roll,Louis Jordan,0.947,0.07,0.778,0.152
Life Is So Peculiar,Louis Jordan,0.9931,0.064,0.74,0.196
Mop-Mop,Louis Jordan,-0.8203,0.049,0.951,0.0
You Can't Get That No More,Louis Jordan,0.9815,0.063,0.787,0.149
You Run Your Mouth And I'll Run My Business,Louis Jordan,-0.7393,0.023,0.977,0.0
Affirmative Action,Lucky Dube,-0.9195,0.131,0.834,0.035
Big Boys Don't Cry,Lucky Dube,-0.9405,0.222,0.601,0.177
Born To Suffer,Lucky Dube,-0.9864,0.197,0.766,0.037
Can't Blame You,Lucky Dube,-0.7805,0.136,0.758,0.106
Changing World,Lucky Dube,-0.895,0.12,0.814,0.066
Choose Your Friend,Lucky Dube,0.9713,0.116,0.682,0.203
Cool Down,Lucky Dube,0.9658,0.062,0.802,0.135
Crazy World,Lucky Dube,-0.9906,0.24,0.686,0.074
Crime And Corruption,Lucky Dube,-0.9869,0.236,0.71,0.054
Ding Ding Licky Licky Licky Bong,Lucky Dube,0.4236,0.09,0.817,0.093
False Prophets,Lucky Dube,0.8555,0.08,0.732,0.188
Feel Irie,Lucky Dube,-0.9748,0.21,0.724,0.067
Fugitive,Lucky Dube,-0.5432,0.059,0.908,0.033
God Bless The Women,Lucky Dube,0.9413,0.111,0.676,0.213
Good Girl,Lucky Dube,-0.8798,0.171,0.682,0.147
Good Things,Lucky Dube,0.9915,0.005,0.839,0.156
Hero,Lucky Dube,0.9911,0.039,0.709,0.252
Hold On,Lucky Dube,0.9359,0.086,0.776,0.138
How Will I Know,Lucky Dube,0.9977,0.081,0.634,0.285
I Want To Know What Love Is,Lucky Dube,0.9318,0.069,0.763,0.169
Jah Live,Lucky Dube,0.9149,0.015,0.851,0.134
Johnny,Lucky Dube,-0.9692,0.186,0.689,0.124
Julie! Julie!,Lucky Dube,0.6724,0.044,0.901,0.055
Keep On Knocking,Lucky Dube,-0.9174,0.182,0.684,0.134
Kiss No Frog,Lucky Dube,0.9747,0.066,0.724,0.21
Let The Band Play On,Lucky Dube,-0.4989,0.174,0.674,0.151
Life In The Movies,Lucky Dube,0.7629,0.159,0.654,0.188
Little Heroes,Lucky Dube,-0.4696,0.133,0.743,0.124
Love Me (The Way I Am),Lucky Dube,0.3313,0.108,0.791,0.101
Lovers In A Dangerous Time,Lucky Dube,0.9652,0.061,0.749,0.19
Man In The City,Lucky Dube,-0.9915,0.293,0.689,0.018
Man In The Mirror,Lucky Dube,0.8089,0.054,0.857,0.089
Micky Mouse Freedom,Lucky Dube,0.9835,0.049,0.722,0.229
"Mirror, Mirror",Lucky Dube,0.8677,0.075,0.813,0.112
Monster,Lucky Dube,-0.8801,0.152,0.714,0.134
"My Brother, My Enemy",Lucky Dube,0.5601,0.075,0.809,0.116
Never Leave You,Lucky Dube,0.9944,0.043,0.756,0.202
Number In The Book,Lucky Dube,-0.9234,0.155,0.761,0.084
Oh My Son (I'm Sorry),Lucky Dube,-0.9241,0.094,0.897,0.009
Political Games,Lucky Dube,-0.7273,0.166,0.696,0.138
Prisoner,Lucky Dube,-0.9986,0.41,0.5,0.09
Puppet Master,Lucky Dube,0.9365,0.099,0.694,0.207
Rasta Man's Prayer,Lucky Dube,0.9758,0.086,0.688,0.226
Reap What You Sow,Lucky Dube,-0.9744,0.19,0.774,0.036
Reggae Strong,Lucky Dube,-0.9837,0.271,0.571,0.158
Release Me,Lucky Dube,0.9314,0.042,0.848,0.11
Remember Me,Lucky Dube,0.5499,0.078,0.826,0.097
Respect,Lucky Dube,0.9936,0.105,0.565,0.33
Rolling Stone,Lucky Dube,0.765,0.082,0.797,0.121
"Running, Falling",Lucky Dube,-0.9671,0.15,0.802,0.047
Serious Reggae Business,Lucky Dube,-0.7301,0.122,0.854,0.024
Shembe Is The Way,Lucky Dube,-0.0688,0.107,0.788,0.105
Shut Up,Lucky Dube,-0.9425,0.159,0.761,0.08
Sleeping Dogs,Lucky Dube,0.9837,0.079,0.74,0.181
Soldier,Lucky Dube,0.9673,0.071,0.755,0.174
Soldiers For Righteousness,Lucky Dube,-0.987,0.203,0.779,0.018
Soul Taker,Lucky Dube,-0.1295,0.118,0.778,0.105
Take It To Jah,Lucky Dube,-0.9918,0.248,0.727,0.025
Taxman,Lucky Dube,-0.4797,0.105,0.836,0.059
Teach The World,Lucky Dube,-0.9038,0.159,0.724,0.118
The Other Side,Lucky Dube,0.9921,0.103,0.723,0.174
The Way It Is,Lucky Dube,0.6748,0.081,0.802,0.116
Till You Lose It All,Lucky Dube,0.9609,0.074,0.706,0.22
Touch Your Dream,Lucky Dube,0.9297,0.028,0.836,0.135
Trinity,Lucky Dube,-0.7717,0.082,0.87,0.047
Up With Hope (Down With Dope),Lucky Dube,0.9761,0.038,0.812,0.15
War And Crime,Lucky Dube,-0.9734,0.157,0.76,0.083
We Love It,Lucky Dube,0.9642,0.029,0.786,0.185
You've Got A Friend,Lucky Dube,0.9961,0.061,0.573,0.367
A Kiss For Christmas,Luther Vandross,0.9973,0.05,0.622,0.327
Any Day Now,Luther Vandross,0.962,0.062,0.793,0.145
Any Love,Luther Vandross,0.9975,0.104,0.57,0.327
Anyone Who Had A Heart,Luther Vandross,0.997,0.082,0.621,0.298
Are You Gonna Love Me,Luther Vandross,0.9995,0.016,0.649,0.336
Creepin',Luther Vandross,0.9926,0.02,0.736,0.244
Dance With My Father,Luther Vandross,0.9882,0.022,0.794,0.184
Don't You Know That?,Luther Vandross,0.9981,0.015,0.758,0.227
Dream Lover,Luther Vandross,0.9992,0.026,0.547,0.427
Emotion Eyes,Luther Vandross,0.359,0.086,0.803,0.111
